"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"DD","TST","DMK","6058.0","68.0","33270.0","49191.0","636043.0","5686252.0","Jan2013","62.0","11558.0","186.41935483870967","4960.0","718.0","164.0","7.0"
"FD","UBP","DMK","5890.0","45.0","22344.0","49191.0","1836523.0","5686252.0","Jan2013","62","10416","168.0","4030","483.0","48.0","5.0"
"TG","BKK","URT","5673.0","100.0","49191.0","36865.0","5686252.0","1031812.0","Jan2013","62","10788","174.0","4650","536.0","142.0","7.0"
"FD","DMK","UBP","5510.0","45.0","49191.0","22344.0","5686252.0","1836523.0","Jan2013","62","10416","168.0","4185","483.0","48.0","5.0"
"FD","NST","DMK","5488.0","52.0","27479.0","49191.0","1541843.0","5686252.0","Jan2013","62","10416","168.0","4805","610.0","48.0","5.0"
"DD","DMK","PHS","4746.0","46.0","49191.0","27490.0","5686252.0","856376.0","Jan2013","120.0","8252.0","68.76666666666667","8320.0","320.0","164.0","7.0"
"DD","PHS","DMK","4689.0","46.0","27490.0","49191.0","856376.0","5686252.0","Jan2013","120.0","8252.0","68.76666666666667","8320.0","320.0","164.0","7.0"
"PG","TDX","BKK","4355.0","90.0","21653.0","49191.0","224010.0","5686252.0","Jan2013","93","6510","70.0","5580","233.0","72.0","8.0"
"FD","CNX","HDY","4276.0","101.0","14393.0","26824.0","1666888.0","1389890.0","Jan2013","31","5208","168.0","3875","1320.0","48.0","5.0"
"FD","DMK","NAW","4120.0","65.0","49191.0","16773.0","5686252.0","766145.0","Jan2013","31","5208","168.0","2790","838.0","48.0","5.0"
"TG","USM","BKK","4119.0","111.0","36865.0","49191.0","1031812.0","5686252.0","Jan2013","62","9300","150.0","4030","465.0","142.0","7.0"
"FD","UTH","HKT","4093.0","83.0","25966.0","31857.0","1563964.0","369522.0","Jan2013","31","5208","168.0","3410","1135.0","48.0","5.0"
"FD","HDY","CNX","3904.0","94.0","26824.0","14393.0","1389890.0","1666888.0","Jan2013","31","5208","168.0","3720","1320.0","48.0","5.0"
"FD","HKT","UTH","3794.0","70.0","31857.0","25966.0","369522.0","1563964.0","Jan2013","31","5208","168.0","3255","1135.0","48.0","5.0"
"PG","CNX","USM","3730.0","138.0","14393.0","36865.0","1666888.0","1031812.0","Jan2013","31","4464","144.0","3255","1027.0","72.0","8.0"
"TG","BKK","USM","3538.0","113.0","49191.0","36865.0","5686252.0","1031812.0","Jan2013","62","9300","150.0","4030","465.0","142.0","7.0"
"TG","UBP","BKK","3496.0","108.0","22344.0","49191.0","1836523.0","5686252.0","Jan2013","31","4650","150.0","2015","476.0","142.0","7.0"
"PG","BKK","TDX","3471.0","92.0","49191.0","21653.0","5686252.0","224010.0","Jan2013","93","6510","70.0","5580","233.0","72.0","8.0"
"DD","SNO","DMK","3357.0","58.0","16854.0","49191.0","1134322.0","5686252.0","Jan2013","89","5874","66.0","8010","521.0","164.0","7.0"
"DD","DMK","SNO","3265.0","58.0","49191.0","16854.0","5686252.0","1134322.0","Jan2013","89","5874","66.0","8010","521.0","164.0","7.0"
"PG","LPT","BKK","2968.0","109.0","19262.0","49191.0","754862.0","5686252.0","Jan2013","62","4340","70.0","5580","497.0","72.0","8.0"
"FD","NAW","DMK","2874.0","65.0","16773.0","49191.0","766145.0","5686252.0","Jan2013","31","5208","168.0","2790","838.0","48.0","5.0"
"TG","BKK","UBP","2840.0","109.0","49191.0","22344.0","5686252.0","1836523.0","Jan2013","31","4650","150.0","2015","476.0","142.0","7.0"
