Op Airlines,Original,Destination,Passenger,Fare,Income Original,Income Destination,Population Original,Population Destination,Date,Flight Frequency,Total Seat,Seat/Dep,Time,AVG KM
FD,NAW,DMK,2874,65,16773,49191,766145,5686252,Jan2013,31,5208,168,2790,838
TG,BKK,UBP,2840,109,49191,22344,5686252,1836523,Jan2013,31,4650,150,2015,476
PG,BKK,LPT,2657,109,49191,19262,5686252,754862,Jan2013,62,4340,70,5580,497
DD,NNT,DMK,2407,58,17598,49191,477912,5686252,Jan2013,93,4186,45.0107526882,8835,541
DD,DMK,NNT,2399,58,49191,17598,5686252,477912,Jan2013,93,4186,45.0107526882,8835,541
FD,KOP,DMK,2379,51,14310,49191,710860,5686252,Jan2013,31,5208,168,2325,579
DD,KOP,DMK,2245,61,14310,49191,710860,5686252,Jan2013,62,4060,65.4838709677,6200,579
DD,DMK,KOP,2103,61,49191,14310,5686252,710860,Jan2013,62,4060,65.4838709677,6200,579
FD,DMK,KOP,2015,51,49191,14310,5686252,710860,Jan2013,31,5208,168,2325,579
DD,CNX,UTH,1983,52,14393,25966,1666888,1563964,Jan2013,93,3162,34,7440,433
DD,UTH,CNX,1867,52,25966,14393,1563964,1666888,Jan2013,93,3162,34,7440,433
DD,DMK,LOE,1035,51,49191,16338,5686252,632205,Jan2013,31,2046,66,2325,410
DD,DMK,MAQ,851,49,49191,17020,5686252,532353,Jan2013,62,2108,34,4650,380
DD,MAQ,DMK,838,49,17020,49191,532353,5686252,Jan2013,62,2108,34,4650,380
