"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"PG","BKK","HKT","23367.0","97.0","49191.0","31857.0","5686252.0","369522.0","Dec2013","248.0","40158.0","161.92741935483872","21080.0","673.0","72.0","8.0"
"PG","BKK","HKT","20002.0","109.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Jan2014","248","40176","162.0","21080","673.0","72.0","8.0"
"PG","BKK","HKT","18815.0","105.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Feb2014","224.0","36090.0","161.11607142857142","19040.0","673.0","72.0","8.0"
"PG","BKK","HKT","17596.0","98.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Mar2014","248.0","39654.0","159.8951612903226","21080.0","673.0","72.0","8.0"
"PG","BKK","HKT","22618.0","89.0","48842.9433628325","30867.515044248","5692284.0","378364.0","May2014","248.0","40134.0","161.83064516129033","21080.0","673.0","72.0","8.0"
"PG","BKK","HKT","22291.0","88.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Jun2014","240","38880","162.0","20400","673.0","72.0","8.0"
"FD","DMK","KBV","12955.0","71.0","49191.0","27276.0","5686252.0","450890.0","Sep2013","120","20160","168.0","9000","666.0","48.0","5.0"
"FD","DMK","KBV","28113.0","44.0","49191.0","27276.0","5686252.0","450890.0","Dec2013","248","41664","168.0","19840","666.0","48.0","5.0"
"FD","DMK","KBV","27533.0","42.0","48842.9433628325","30604.288495576","5692284.0","456811.0","Jan2014","248","41664","168.0","19840","666.0","48.0","5.0"
"FD","DMK","KBV","24209.0","39.0","48842.9433628325","30604.288495576","5692284.0","456811.0","Feb2014","224","37632","168.0","17920","666.0","48.0","5.0"
"FD","DMK","KBV","26658.0","45.0","48842.9433628325","30604.288495576","5692284.0","456811.0","Mar2014","248","41664","168.0","19790","666.0","48.0","5.0"
"FD","DMK","KBV","19515.0","45.0","48842.9433628325","30604.288495576","5692284.0","456811.0","May2014","186","31248","168.0","13950","666.0","48.0","5.0"
"FD","DMK","KBV","27499.0","33.0","48842.9433628325","30604.288495576","5692284.0","456811.0","Nov2014","240","43200","180.0","19480","666.0","48.0","5.0"
"FD","DMK","KBV","28340.0","46.0","48842.9433628325","30604.288495576","5692284.0","456811.0","Dec2014","248","44640","180.0","20150","666.0","48.0","5.0"
"FD","KBV","DMK","12267.0","73.0","27276.0","49191.0","450890.0","5686252.0","Sep2013","120","20160","168.0","9750","666.0","48.0","5.0"
"FD","KBV","DMK","28402.0","50.0","27276.0","49191.0","450890.0","5686252.0","Dec2013","248","41664","168.0","18910","666.0","48.0","5.0"
"FD","KBV","DMK","27647.0","48.0","30604.288495576","48842.9433628325","456811.0","5692284.0","Jan2014","248","41664","168.0","18910","666.0","48.0","5.0"
"FD","KBV","DMK","24355.0","44.0","30604.288495576","48842.9433628325","456811.0","5692284.0","Feb2014","224","37632","168.0","17080","666.0","48.0","5.0"
"FD","KBV","DMK","26620.0","45.0","30604.288495576","48842.9433628325","456811.0","5692284.0","Mar2014","248","41664","168.0","18960","666.0","48.0","5.0"
"FD","KBV","DMK","18275.0","42.0","30604.288495576","48842.9433628325","456811.0","5692284.0","May2014","186","31248","168.0","14415","666.0","48.0","5.0"
"FD","KBV","DMK","27821.0","38.0","30604.288495576","48842.9433628325","456811.0","5692284.0","Nov2014","240","43200","180.0","18300","666.0","48.0","5.0"
"FD","KBV","DMK","28004.0","59.0","30604.288495576","48842.9433628325","456811.0","5692284.0","Dec2014","248","44640","180.0","18910","666.0","48.0","5.0"
