Travel Month,Travel Year,Op Airline Code,Airline Code,Origin Code,Origin Name,Destination Name,Destination Code,Thru Point Name,Thru Point Code,Equipment Code,Equipment Name,Flights,Seats,Seats/ Dep,Block Mins,Average KMs
Jan 2013,2013,DD,DD,TST,"Trang, TH","Bangkok, TH",DMK,,,734,734 (B737-400),4,596,149,320,718
Jan 2013,2013,DD,DD,TST,"Trang, TH","Bangkok, TH",DMK,,,738,738 (B737-800 Passenger),58,10962,189,4640,718
Jan 2013,2013,DD,DD,UBP,"Ubon Ratchathani, TH","Bangkok, TH",DMK,,,734,734 (B737-400),35,5215,149,2100,483
Jan 2013,2013,DD,DD,UBP,"Ubon Ratchathani, TH","Bangkok, TH",DMK,,,738,738 (B737-800 Passenger),89,16821,189,5340,483
Jan 2013,2013,DD,DD,URT,"Surat Thani, TH","Bangkok, TH",DMK,,,734,734 (B737-400),31,4619,149,2170,552
Jan 2013,2013,DD,DD,URT,"Surat Thani, TH","Bangkok, TH",DMK,,,738,738 (B737-800 Passenger),93,17577,189,6510,552
Jan 2013,2013,DD,DD,UTH,"Udon Thani, TH","Bangkok, TH",DMK,,,738,738 (B737-800 Passenger),155,29295,189,9300,451
Jan 2013,2013,DD,DD,UTH,"Udon Thani, TH","Chiang Mai, TH",CNX,,,SF3,SF3 (Saab 340),93,3162,34,7440,433
Jan 2013,2013,E8,E8,CNX,"Chiang Mai, TH","Phuket, TH",HKT,,,734,734 (B737-400),8,1192,149,720,1181
Jan 2013,2013,E8,E8,HKT,"Phuket, TH","Chiang Mai, TH",CNX,,,734,734 (B737-400),8,1192,149,720,1181
Jan 2013,2013,FD,FD,CEI,"Chiang Rai, TH","Bangkok, TH",DMK,,,320,320 (A320),93,15624,168,7440,666
Jan 2013,2013,FD,FD,CNX,"Chiang Mai, TH","Bangkok, TH",DMK,,,320,320 (A320),266,44688,168,20105,565
Jan 2013,2013,FD,FD,CNX,"Chiang Mai, TH","Hat Yai, TH",HDY,,,320,320 (A320),31,5208,168,3875,1320
Jan 2013,2013,FD,FD,CNX,"Chiang Mai, TH","Phuket, TH",HKT,,,320,320 (A320),62,10416,168,7750,1181
Jan 2013,2013,FD,FD,CNX,"Chiang Mai, TH","Ubon Ratchathani, TH",UBP,,,320,320 (A320),13,2184,168,975,740
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Chiang Mai, TH",CNX,,,320,320 (A320),266,44688,168,19550,565
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Chiang Rai, TH",CEI,,,320,320 (A320),93,15624,168,7440,666
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Hat Yai, TH",HDY,,,320,320 (A320),217,36456,168,18445,772
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Krabi, TH",KBV,,,320,320 (A320),155,26040,168,12400,666
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Nakhon Phanom, TH",KOP,,,320,320 (A320),31,5208,168,2325,579
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Nakhon Si Thammarat, TH",NST,,,320,320 (A320),62,10416,168,4805,610
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Narathiwat, TH",NAW,,,320,320 (A320),31,5208,168,2790,838
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Phuket, TH",HKT,,,320,320 (A320),279,46872,168,22785,689
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Surat Thani, TH",URT,,,320,320 (A320),93,15624,168,6665,552
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Trang, TH",TST,,,320,320 (A320),93,15624,168,7905,718
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Ubon Ratchathani, TH",UBP,,,320,320 (A320),62,10416,168,4185,483
Jan 2013,2013,FD,FD,DMK,"Bangkok, TH","Udon Thani, TH",UTH,,,320,320 (A320),93,15624,168,6200,451
Jan 2013,2013,FD,FD,HDY,"Hat Yai, TH","Bangkok, TH",DMK,,,320,320 (A320),217,36456,168,18290,772
Jan 2013,2013,FD,FD,HDY,"Hat Yai, TH","Chiang Mai, TH",CNX,,,320,320 (A320),31,5208,168,3720,1320
Jan 2013,2013,FD,FD,HKT,"Phuket, TH","Bangkok, TH",DMK,,,320,320 (A320),279,46872,168,22630,689
Jan 2013,2013,FD,FD,HKT,"Phuket, TH","Chiang Mai, TH",CNX,,,320,320 (A320),62,10416,168,7130,1181
Jan 2013,2013,FD,FD,HKT,"Phuket, TH","Udon Thani, TH",UTH,,,320,320 (A320),31,5208,168,3255,1135
Jan 2013,2013,FD,FD,KBV,"Krabi, TH","Bangkok, TH",DMK,,,320,320 (A320),155,26040,168,11780,666
Jan 2013,2013,FD,FD,KOP,"Nakhon Phanom, TH","Bangkok, TH",DMK,,,320,320 (A320),31,5208,168,2325,579
Jan 2013,2013,FD,FD,NAW,"Narathiwat, TH","Bangkok, TH",DMK,,,320,320 (A320),31,5208,168,2790,838
Jan 2013,2013,FD,FD,NST,"Nakhon Si Thammarat, TH","Bangkok, TH",DMK,,,320,320 (A320),62,10416,168,4805,610
Jan 2013,2013,FD,FD,TST,"Trang, TH","Bangkok, TH",DMK,,,320,320 (A320),93,15624,168,7905,718
Jan 2013,2013,FD,FD,UBP,"Ubon Ratchathani, TH","Bangkok, TH",DMK,,,320,320 (A320),62,10416,168,4030,483
Jan 2013,2013,FD,FD,UBP,"Ubon Ratchathani, TH","Chiang Mai, TH",CNX,,,320,320 (A320),13,2184,168,910,740
Jan 2013,2013,FD,FD,URT,"Surat Thani, TH","Bangkok, TH",DMK,,,320,320 (A320),93,15624,168,6820,552
Jan 2013,2013,FD,FD,UTH,"Udon Thani, TH","Bangkok, TH",DMK,,,320,320 (A320),93,15624,168,6200,451
Jan 2013,2013,FD,FD,UTH,"Udon Thani, TH","Phuket, TH",HKT,,,320,320 (A320),31,5208,168,3410,1135
Jan 2013,2013,OX,OX,CEI,"Chiang Rai, TH","Bangkok, TH",DMK,,,M82,M82 (MD-82),31,4650,150,2480,666
Jan 2013,2013,OX,OX,CNX,"Chiang Mai, TH","Bangkok, TH",DMK,,,M82,M82 (MD-82),62,9300,150,4650,565
Jan 2013,2013,OX,OX,DMK,"Bangkok, TH","Chiang Mai, TH",CNX,,,M82,M82 (MD-82),62,9300,150,4030,565
Jan 2013,2013,OX,OX,DMK,"Bangkok, TH","Chiang Rai, TH",CEI,,,M82,M82 (MD-82),31,4650,150,2480,666
Jan 2013,2013,OX,OX,DMK,"Bangkok, TH","Hat Yai, TH",HDY,,,M82,M82 (MD-82),62,9300,150,5115,772
Jan 2013,2013,OX,OX,DMK,"Bangkok, TH","Phuket, TH",HKT,,,M82,M82 (MD-82),62,9300,150,4805,689
Jan 2013,2013,OX,OX,HDY,"Hat Yai, TH","Bangkok, TH",DMK,,,M82,M82 (MD-82),62,9300,150,5270,772
Jan 2013,2013,OX,OX,HKT,"Phuket, TH","Bangkok, TH",DMK,,,M82,M82 (MD-82),62,9300,150,5270,689
Jan 2013,2013,PG,PG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,319,319 (A319),90,12960,144,6750,565
Jan 2013,2013,PG,PG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,320,320 (A320),96,15552,162,7200,565
Jan 2013,2013,PG,PG,BKK,"Bangkok, TH","Ko Samui, TH",USM,,,319,319 (A319),411,59184,144,26560,465
Jan 2013,2013,PG,PG,BKK,"Bangkok, TH","Ko Samui, TH",USM,,,AT7,AT7 (ATR-72),264,18480,70,23760,465
Jan 2013,2013,PG,PG,BKK,"Bangkok, TH","Lampang, TH",LPT,,,AT7,AT7 (ATR-72),62,4340,70,5580,497
Jan 2013,2013,PG,PG,BKK,"Bangkok, TH","Phuket, TH",HKT,,,320,320 (A320),217,35154,162,18445,673
Jan 2013,2013,PG,PG,BKK,"Bangkok, TH","Sukhothai, TH",THS,,,AT7,AT7 (ATR-72),62,4340,70,4650,377
Jan 2013,2013,PG,PG,BKK,"Bangkok, TH","Trat, TH",TDX,,,AT7,AT7 (ATR-72),93,6510,70,5580,233
