"TravelMonth","Op Airline Code","Origin Code","Destination Code","Flights","Seats","Seats/ Dep","Block Mins","Average KMs"
"Feb2013","PG","TDX","BKK","84","5880","70.0","5040","233.0"
"Feb2013","PG","THS","BKK","56","3920","70.0","4200","377.0"
"Feb2013","PG","USM","BKK","673.0","77524.0","115.19167904903418","50295.0","465.0"
"Feb2013","PG","USM","KBV","28","1960","70.0","1540","200.0"
"Feb2013","PG","USM","HKT","140","9800","70.0","8540","249.0"
"Feb2013","PG","USM","UTP","28","1960","70.0","2100","360.0"
"Feb2013","PG","UTP","USM","28","1960","70.0","1960","360.0"
"Feb2013","PG","UTP","HKT","28","1960","70.0","2800","586.0"
"Feb2013","TG","BKK","CNX","280.0","80443.0","287.2964285714286","20440.0","565.0"
"Feb2013","TG","BKK","CEI","84","20748","247.0","6720","666.0"
"Feb2013","TG","BKK","HDY","112.0","24012.0","214.39285714285714","9800.0","750.0"
"Feb2013","TG","BKK","KKC","112.0","25045.0","223.61607142857142","6300.0","367.0"
"Feb2013","TG","BKK","USM","56","8400","150.0","3640","465.0"
"Feb2013","TG","BKK","KBV","140.0","31464.0","224.74285714285713","11200.0","649.0"
"Feb2013","TG","BKK","HKT","280.0","80101.0","286.075","22652.0","673.0"
"Feb2013","TG","BKK","URT","56","9744","174.0","4200","536.0"
"Feb2013","TG","BKK","UBP","56","9744","174.0","3640","476.0"
"Feb2013","TG","BKK","UTH","84","14616","174.0","5460","451.0"
"Feb2013","TG","CEI","BKK","84","20748","247.0","6720","666.0"
"Feb2013","TG","CNX","BKK","280.0","80443.0","287.2964285714286","20440.0","565.0"
"Feb2013","TG","CNX","HKT","28","4872","174.0","3220","1181.0"
"Feb2013","TG","HDY","BKK","112.0","24012.0","214.39285714285714","9660.0","750.0"
"Feb2013","TG","HKT","BKK","296.0","86213.0","291.26013513513516","25440.0","673.0"
"Feb2013","TG","HKT","CNX","28","4872","174.0","3220","1181.0"
"Feb2013","TG","KBV","BKK","140.0","31464.0","224.74285714285713","11200.0","649.0"
"Feb2013","TG","KKC","BKK","112.0","25045.0","223.61607142857142","6300.0","367.0"
"Feb2013","TG","UBP","BKK","56","9744","174.0","3640","476.0"
"Feb2013","TG","URT","BKK","56","9744","174.0","3920","536.0"
"Feb2013","TG","USM","BKK","56","8400","150.0","3640","465.0"
"Feb2013","TG","UTH","BKK","84","14616","174.0","5040","451.0"
"Mar2013","DD","BFV","DMK","14","476","34.0","910","296.0"
"Mar2013","DD","CEI","DMK","93","17577","189.0","6975","666.0"
"Mar2013","DD","CJM","DMK","62.0","3100.0","50.0","4340.0","380.0"
"Mar2013","DD","CNX","DMK","187","35343","189.0","12155","565.0"
"Mar2013","DD","CNX","HDY","31","5859","189.0","3880","1320.0"
"Mar2013","DD","CNX","HGN","124","4216","34.0","4340","119.0"
"Mar2013","DD","CNX","MAQ","31","1054","34.0","1550","196.0"
