"['TG', 'TG', '', '', '', '', '', 'TG', 'TG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'HKT']","['5,093', '30,745', '2.4', '20.0', '0.5', '79.5', '82', '2,529,994', '0.12']","May2013"
"['TG', 'TG', '', '', '', '', '', 'TG', 'TG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'HKT']","['5,920', '28,412', '2.3', '17.9', '0.5', '81.6', '81', '2,310,548', '0.12']","Jun2013"
"['FD', 'FD', '', '', '', '', '', 'FD', 'FD', '', '', '', '', '', 'Thailand', 'HKT', '', '', '', '', '', 'Thailand', 'DMK']","['0', '32,342', '2.3', '40.3', '26.6', '33.2', '57', '1,837,026', '0.08']","Jan2013"
"['FD', 'FD', '', '', '', '', '', 'FD', 'FD', '', '', '', '', '', 'Thailand', 'HKT', '', '', '', '', '', 'Thailand', 'DMK']","['0', '28,869', '2.2', '40.7', '22.3', '37.0', '57', '1,639,759', '0.08']","Feb2013"
"['FD', 'FD', '', '', '', '', '', 'FD', 'FD', '', '', '', '', '', 'Thailand', 'HKT', '', '', '', '', '', 'Thailand', 'DMK']","['0', '34,034', '2.4', '35.3', '22.2', '42.5', '54', '1,831,029', '0.08']","Mar2013"
"['FD', 'FD', '', '', '', '', '', 'FD', 'FD', '', '', '', '', '', 'Thailand', 'HKT', '', '', '', '', '', 'Thailand', 'DMK']","['0', '33,076', '2.6', '34.9', '23.0', '42.1', '54', '1,792,719', '0.08']","Apr2013"
"['FD', 'FD', '', '', '', '', '', 'FD', 'FD', '', '', '', '', '', 'Thailand', 'HKT', '', '', '', '', '', 'Thailand', 'DMK']","['0', '41,897', '3.3', '29.4', '18.0', '52.6', '50', '2,099,040', '0.07']","May2013"
"['FD', 'FD', '', '', '', '', '', 'FD', 'FD', '', '', '', '', '', 'Thailand', 'HKT', '', '', '', '', '', 'Thailand', 'DMK']","['0', '46,152', '3.8', '26.2', '15.4', '58.5', '60', '2,764,505', '0.09']","Jun2013"
"['DD', 'DD', '', '', '', '', '', 'DD', 'DD', '', '', '', '', '', 'Thailand', 'DMK', '', '', '', '', '', 'Thailand', 'CNX']","['0', '32,038', '2.3', '65.3', '1.2', '33.5', '60', '1,912,669', '0.11']","Jan2013"
"['DD', 'DD', '', '', '', '', '', 'DD', 'DD', '', '', '', '', '', 'Thailand', 'DMK', '', '', '', '', '', 'Thailand', 'CNX']","['0', '23,865', '1.8', '63.3', '0.9', '35.8', '61', '1,453,379', '0.11']","Feb2013"
"['DD', 'DD', '', '', '', '', '', 'DD', 'DD', '', '', '', '', '', 'Thailand', 'DMK', '', '', '', '', '', 'Thailand', 'CNX']","['0', '20,103', '1.4', '56.5', '2.7', '40.8', '61', '1,220,252', '0.11']","Mar2013"
"['DD', 'DD', '', '', '', '', '', 'DD', 'DD', '', '', '', '', '', 'Thailand', 'DMK', '', '', '', '', '', 'Thailand', 'CNX']","['0', '19,330', '1.5', '61.8', '1.9', '36.3', '62', '1,192,661', '0.11']","Apr2013"
"['DD', 'DD', '', '', '', '', '', 'DD', 'DD', '', '', '', '', '', 'Thailand', 'DMK', '', '', '', '', '', 'Thailand', 'CNX']","['0', '14,580', '1.2', '62.3', '3.3', '34.4', '63', '911,250', '0.11']","May2013"
"['DD', 'DD', '', '', '', '', '', 'DD', 'DD', '', '', '', '', '', 'Thailand', 'DMK', '', '', '', '', '', 'Thailand', 'CNX']","['0', '15,017', '1.2', '62.7', '2.0', '35.4', '64', '964,091', '0.11']","Jun2013"
"['FD', 'FD', '', '', '', '', '', 'FD', 'FD', '', '', '', '', '', 'Thailand', 'DMK', '', '', '', '', '', 'Thailand', 'HKT']","['0', '31,839', '2.3', '56.8', '5.7', '37.5', '57', '1,808,455', '0.08']","Jan2013"
